D_ID,Actor,Scene_Num,Location,Shoot_Town,DATE
14,Vijay,5,Inc Tech,Madhapur,2022-06-14
18,Vijay,2,Ikea Flyover,Raidurg,2022-06-18
18,Vijay,8,Ikea Flyover,Raidurg,2022-06-18
23,Vijay,14,Lotus Park,Vizag,2022-06-23
25,Vijay,3,Konark Community,Vizag,2022-06-25
26,Vijay,6,Konark Community,Vizag,2022-06-26
27,Vijay,4,Konark Community,Vizag,2022-06-27
35,Vijay,7,Royal Oak,Manikonda,2022-07-05
38,Vijay,11,Ramanaidu,Nanakramguda,2022-07-08
45,Vijay,12,Ramanaidu,Nanakramguda,2022-07-15
85,Vijay,10,Park Hayatt,Banjarahills,2022-08-24
27,Devi,13,Lotus Park,Vizag,2022-06-27
35,Gopi,7,Royal Oak,Manikonda,2022-07-05
85,Gopi,10,Park Hayatt,Banjarahills,2022-08-24
45,Nani,12,Ramanaidu,Nanakramguda,2022-07-15
77,Venkat,9,Park Hayatt,Banjarahills,2022-08-16
85,Venkat,10,Park Hayatt,Banjarahills,2022-08-24
35,Bhola,7,Royal Oak,Manikonda,2022-07-05
60,Bhola,1,Ramoji,Ramoji,2022-07-30
14,Pratap,5,Inc Tech,Madhapur,2022-06-14
18,Pratap,2,Ikea Flyover,Raidurg,2022-06-18
18,Pratap,8,Ikea Flyover,Raidurg,2022-06-18
25,Pratap,3,Konark Community,Vizag,2022-06-25
26,Pratap,6,Konark Community,Vizag,2022-06-26
27,Pratap,4,Konark Community,Vizag,2022-06-27
35,Pratap,7,Royal Oak,Manikonda,2022-07-05
38,Jeevan,11,Ramanaidu,Nanakramguda,2022-07-08
38,Anu,11,Ramanaidu,Nanakramguda,2022-07-08
